name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,1.3425285168602687e+02,1.3425285505186389e+02,1.3017902973153065e+05,1.2945326914103865e+05
branch0_seg0,2.5000000000000000e-01,1.3425285168016595e+02,1.3425284932004698e+02,1.3017903612034196e+05,1.2945326243214047e+05
branch0_seg0,5.0000000000000000e-01,1.3425285168309642e+02,1.3425285340231343e+02,1.3017902850354396e+05,1.2945326171183208e+05
branch0_seg0,7.5000000000000000e-01,1.3425285168163120e+02,1.3425285039710633e+02,1.3017903493667790e+05,1.2945326469105550e+05
branch0_seg0,1.0000000000000000e+00,1.3425285168236380e+02,1.3425285263133372e+02,1.3017903067110053e+05,1.2945326202985964e+05
branch0_seg1,0.0000000000000000e+00,1.3425285505186389e+02,1.3425285486688927e+02,1.2945326914103865e+05,1.2923324231623182e+05
branch0_seg1,2.5000000000000000e-01,1.3425284932004698e+02,1.3425284956591281e+02,1.2945326243214047e+05,1.2923323253661829e+05
branch0_seg1,5.0000000000000000e-01,1.3425285340231343e+02,1.3425285321832351e+02,1.2945326171183208e+05,1.2923323342723494e+05
branch0_seg1,7.5000000000000000e-01,1.3425285039710633e+02,1.3425285049816381e+02,1.2945326469105550e+05,1.2923323560112933e+05
branch0_seg1,1.0000000000000000e+00,1.3425285263133372e+02,1.3425285259191179e+02,1.2945326202985964e+05,1.2923323331328973e+05
branch0_seg2,0.0000000000000000e+00,1.3425285486688927e+02,1.3425285483262178e+02,1.2923324231623182e+05,1.2921875891011726e+05
branch0_seg2,2.5000000000000000e-01,1.3425284956591281e+02,1.3425284960124489e+02,1.2923323253661829e+05,1.2921874888909886e+05
branch0_seg2,5.0000000000000000e-01,1.3425285321832351e+02,1.3425285319219861e+02,1.2923323342723494e+05,1.2921874990639731e+05
branch0_seg2,7.5000000000000000e-01,1.3425285049816381e+02,1.3425285051404222e+02,1.2923323560112933e+05,1.2921875201690578e+05
branch0_seg2,1.0000000000000000e+00,1.3425285259191179e+02,1.3425285258367822e+02,1.2923323331328973e+05,1.2921874975849962e+05
branch1_seg0,0.0000000000000000e+00,4.9674729430032201e+01,4.9674726677481118e+01,1.2921875891011726e+05,1.2418681669370279e+05
branch1_seg0,2.5000000000000000e-01,4.9674726073746328e+01,4.9674728654021806e+01,1.2921874888909886e+05,1.2418682163505453e+05
branch1_seg0,5.0000000000000000e-01,4.9674727572352140e+01,4.9674725721572877e+01,1.2921874990639731e+05,1.2418681430393219e+05
branch1_seg0,7.5000000000000000e-01,4.9674726884896003e+01,4.9674727999916890e+01,1.2921875201690578e+05,1.2418681999979222e+05
branch1_seg0,1.0000000000000000e+00,4.9674727315316758e+01,4.9674726734899743e+01,1.2921874975849962e+05,1.2418681683724935e+05
branch2_seg0,0.0000000000000000e+00,8.4578125402589578e+01,8.4578121546202780e+01,1.2921875891011726e+05,1.1646965549023062e+05
branch2_seg0,2.5000000000000000e-01,8.4578123527498548e+01,8.4578126923698278e+01,1.2921874888909886e+05,1.1646965862163794e+05
branch2_seg0,5.0000000000000000e-01,8.4578125619846489e+01,8.4578123247535743e+01,1.2921874990639731e+05,1.1646965458553113e+05
branch2_seg0,7.5000000000000000e-01,8.4578123629146219e+01,8.4578125033460893e+01,1.2921875201690578e+05,1.1646965750893940e+05
branch2_seg0,1.0000000000000000e+00,8.4578125268361475e+01,8.4578124551459823e+01,1.2921874975849962e+05,1.1646965599744054e+05
branch3_seg0,0.0000000000000000e+00,4.2382833543585747e+01,4.2382833369930829e+01,1.1646965549023062e+05,1.1364066173241845e+05
branch3_seg0,2.5000000000000000e-01,4.2382836234930792e+01,4.2382836339406907e+01,1.1646965862163794e+05,1.1364066648949584e+05
branch3_seg0,5.0000000000000000e-01,4.2382834393293706e+01,4.2382834338390005e+01,1.1646965458553113e+05,1.1364066194773484e+05
branch3_seg0,7.5000000000000000e-01,4.2382835288598898e+01,4.2382835313526520e+01,1.1646965750893940e+05,1.1364066484490396e+05
branch3_seg0,1.0000000000000000e+00,4.2382835046700229e+01,4.2382835037208558e+01,1.1646965599744054e+05,1.1364066352076238e+05
branch3_seg1,0.0000000000000000e+00,4.2382833369930829e+01,4.2382833285069623e+01,1.1364066173241845e+05,1.1058535043483885e+05
branch3_seg1,2.5000000000000000e-01,4.2382836339406907e+01,4.2382836387391897e+01,1.1364066648949584e+05,1.1058535646514442e+05
branch3_seg1,5.0000000000000000e-01,4.2382834338390005e+01,4.2382834315104297e+01,1.1364066194773484e+05,1.1058535157506217e+05
branch3_seg1,7.5000000000000000e-01,4.2382835313526520e+01,4.2382835322869894e+01,1.1364066484490396e+05,1.1058535440268790e+05
branch3_seg1,1.0000000000000000e+00,4.2382835037208558e+01,4.2382835034425923e+01,1.1364066352076238e+05,1.1058535326004050e+05
branch3_seg2,0.0000000000000000e+00,4.2382833285069623e+01,4.2382833133218497e+01,1.1058535043483885e+05,1.0595708283304624e+05
branch3_seg2,2.5000000000000000e-01,4.2382836387391897e+01,4.2382836467454013e+01,1.1058535646514442e+05,1.0595709116863502e+05
branch3_seg2,5.0000000000000000e-01,4.2382834315104297e+01,4.2382834280335409e+01,1.1058535157506217e+05,1.0595708570083854e+05
branch3_seg2,7.5000000000000000e-01,4.2382835322869894e+01,4.2382835333912027e+01,1.1058535440268790e+05,1.0595708833478007e+05
branch3_seg2,1.0000000000000000e+00,4.2382835034425923e+01,4.2382835033256363e+01,1.1058535326004050e+05,1.0595708758314092e+05
branch4_seg0,0.0000000000000000e+00,4.2195288002617040e+01,4.2195287849198294e+01,1.1646965549023062e+05,1.1395082361038189e+05
branch4_seg0,2.5000000000000000e-01,4.2195290688767486e+01,4.2195290781036910e+01,1.1646965862163794e+05,1.1395082816709395e+05
branch4_seg0,5.0000000000000000e-01,4.2195288854242044e+01,4.2195288805777139e+01,1.1646965458553113e+05,1.1395082368770598e+05
branch4_seg0,7.5000000000000000e-01,4.2195289744861988e+01,4.2195289766849825e+01,1.1646965750893940e+05,1.1395082658804563e+05
branch4_seg0,1.0000000000000000e+00,4.2195289504759600e+01,4.2195289496397670e+01,1.1646965599744054e+05,1.1395082524059860e+05
branch4_seg1,0.0000000000000000e+00,4.2195287849198294e+01,4.2195287759923723e+01,1.1395082361038189e+05,1.1032137158953612e+05
branch4_seg1,2.5000000000000000e-01,4.2195290781036910e+01,4.2195290832024035e+01,1.1395082816709395e+05,1.1032137750243941e+05
branch4_seg1,5.0000000000000000e-01,4.2195288805777139e+01,4.2195288780669259e+01,1.1395082368770598e+05,1.1032137266441291e+05
branch4_seg1,7.5000000000000000e-01,4.2195289766849825e+01,4.2195289777188727e+01,1.1395082658804563e+05,1.1032137547917980e+05
branch4_seg1,1.0000000000000000e+00,4.2195289496397670e+01,4.2195289493124058e+01,1.1395082524059860e+05,1.1032137433164107e+05
branch4_seg2,0.0000000000000000e+00,4.2195287759923723e+01,4.2195287602336563e+01,1.1032137158953612e+05,1.0548821900584140e+05
branch4_seg2,2.5000000000000000e-01,4.2195290832024035e+01,4.2195290915645749e+01,1.1032137750243941e+05,1.0548822728911438e+05
branch4_seg2,5.0000000000000000e-01,4.2195288780669259e+01,4.2195288743911703e+01,1.1032137266441291e+05,1.0548822185977927e+05
branch4_seg2,7.5000000000000000e-01,4.2195289777188727e+01,4.2195289789232817e+01,1.1032137547917980e+05,1.0548822447308202e+05
branch4_seg2,1.0000000000000000e+00,4.2195289493124058e+01,4.2195289491499480e+01,1.1032137433164107e+05,1.0548822372874871e+05
