name,time,flow_in,flow_out,pressure_in,pressure_out
aorta_inlet,0.0000000000000000e+00,1.3425285168602687e+02,1.3425285168602687e+02,1.7908417079397052e+05,1.7908414564399491e+05
aorta_inlet,2.5000000000000000e-01,1.3425285168016595e+02,1.3425285168016595e+02,1.7908416628877950e+05,1.7908414113880383e+05
aorta_inlet,5.0000000000000000e-01,1.3425285168309642e+02,1.3425285168309642e+02,1.7908416865567659e+05,1.7908414350570098e+05
aorta_inlet,7.5000000000000000e-01,1.3425285168163117e+02,1.3425285168163117e+02,1.7908416741439278e+05,1.7908414226441711e+05
aorta_inlet,1.0000000000000000e+00,1.3425285168236383e+02,1.3425285168236383e+02,1.7908416806429453e+05,1.7908414291431892e+05
aorta_right_outlet,0.0000000000000000e+00,5.8857359648768472e+01,5.8857359648768472e+01,1.4714343469709207e+05,1.4714339912192119e+05
aorta_right_outlet,2.5000000000000000e-01,5.8857359644823234e+01,5.8857359644823234e+01,1.4714343468722893e+05,1.4714339911205810e+05
aorta_right_outlet,5.0000000000000000e-01,5.8857359646795850e+01,5.8857359646795850e+01,1.4714343469216046e+05,1.4714339911698960e+05
aorta_right_outlet,7.5000000000000000e-01,5.8857359645809531e+01,5.8857359645809531e+01,1.4714343468969470e+05,1.4714339911452384e+05
aorta_right_outlet,1.0000000000000000e+00,5.8857359646302683e+01,5.8857359646302683e+01,1.4714343469092759e+05,1.4714339911575674e+05
pulmo_inlet,0.0000000000000000e+00,7.5395492037258407e+01,7.5395492037258407e+01,1.2902217031156257e+05,1.2902211188614229e+05
pulmo_inlet,2.5000000000000000e-01,7.5395492035342741e+01,7.5395492035342741e+01,1.2902216797596369e+05,1.2902210955054339e+05
pulmo_inlet,5.0000000000000000e-01,7.5395492036300567e+01,7.5395492036300567e+01,1.2902216920299333e+05,1.2902211077757303e+05
pulmo_inlet,7.5000000000000000e-01,7.5395492035821647e+01,7.5395492035821647e+01,1.2902216855950873e+05,1.2902211013408843e+05
pulmo_inlet,1.0000000000000000e+00,7.5395492036061114e+01,7.5395492036061114e+01,1.2902216889641326e+05,1.2902211047099296e+05
pulmo_right_outlet,0.0000000000000000e+00,3.7579596548042524e+01,3.7579596548042524e+01,9.3949005885048551e+04,9.3948991370106305e+04
pulmo_right_outlet,2.5000000000000000e-01,3.7579596547080747e+01,3.7579596547080747e+01,9.3949005882644109e+04,9.3948991367701863e+04
pulmo_right_outlet,5.0000000000000000e-01,3.7579596547561636e+01,3.7579596547561636e+01,9.3949005883846330e+04,9.3948991368904084e+04
pulmo_right_outlet,7.5000000000000000e-01,3.7579596547321188e+01,3.7579596547321188e+01,9.3949005883245205e+04,9.3948991368302959e+04
pulmo_right_outlet,1.0000000000000000e+00,3.7579596547441405e+01,3.7579596547441405e+01,9.3949005883545775e+04,9.3948991368603529e+04
pulmo_left_outlet,0.0000000000000000e+00,3.7815895489215883e+01,3.7815895489215883e+01,9.4539812787660223e+04,9.4539738723039714e+04
pulmo_left_outlet,2.5000000000000000e-01,3.7815895488261987e+01,3.7815895488261987e+01,9.4539812785275484e+04,9.4539738720654976e+04
pulmo_left_outlet,5.0000000000000000e-01,3.7815895488738931e+01,3.7815895488738931e+01,9.4539812786467810e+04,9.4539738721847316e+04
pulmo_left_outlet,7.5000000000000000e-01,3.7815895488500466e+01,3.7815895488500466e+01,9.4539812785871662e+04,9.4539738721251168e+04
pulmo_left_outlet,1.0000000000000000e+00,3.7815895488619702e+01,3.7815895488619702e+01,9.4539812786169758e+04,9.4539738721549264e+04
